SVN,Frame,Memory,Memory (Managed),Gen 0 GC,Gen 1 GC,Gen 2 GC,Processors,Frame Rate,Frame Time,Shadow Primitives,Render Primitives,Render Process,Updater Process,Loader Process,Sound Process
1.6,409,0,165926464,744,94,37,4,23,0.042976,2799,3635,76,48,0,2
1.6,410,0,166065576,744,94,37,4,20,0.050361,2799,3635,76,48,0,2
1.6,411,0,166233912,744,94,37,4,20,0.050266,2799,3635,76,48,0,2
1.6,412,0,166323832,744,94,37,4,19,0.051460,2799,3635,76,48,0,2
1.6,413,0,166372864,744,94,37,4,19,0.051361,2799,3635,76,48,0,2
1.6,414,0,166413760,744,94,37,4,20,0.051178,2799,3635,97,23,13,1
1.6,415,0,165069792,745,94,37,4,19,0.051462,2799,3635,97,23,13,1
1.6,416,0,165102384,745,94,37,4,19,0.051692,2799,3635,97,23,13,1
1.6,417,0,165167632,745,94,37,4,19,0.051963,2799,3635,97,23,13,1
1.6,418,0,165200328,745,94,37,4,19,0.051364,2799,3635,97,23,13,1
1.6,419,0,165264544,745,94,37,4,19,0.051731,2799,3635,97,22,0,1
1.6,420,0,165411816,745,94,37,4,23,0.044400,2799,3639,97,22,0,1
1.6,421,0,165444496,745,94,37,4,22,0.044818,2799,3639,97,22,0,1
1.6,422,0,165485312,745,94,37,4,23,0.043667,2799,3639,97,22,0,1
1.6,423,0,165557856,745,94,37,4,23,0.044193,2797,3635,97,22,0,1
1.6,424,0,165615064,745,94,37,4,22,0.045003,2797,3634,97,22,0,1
1.6,425,0,165671360,745,94,37,4,22,0.046375,2797,3633,96,19,0,3
1.6,426,0,165712264,745,94,37,4,22,0.045804,2797,3633,96,19,0,3
1.6,427,0,165753136,745,94,37,4,22,0.045805,2797,3633,96,19,0,3
1.6,428,0,165793944,745,94,37,4,22,0.045957,2802,3638,96,19,0,3
1.6,429,0,165841624,745,94,37,4,22,0.045280,2802,3638,96,19,0,3
1.6,430,0,165890560,745,94,37,4,21,0.046974,2802,3638,96,19,0,3
1.6,431,0,165947520,745,94,37,4,20,0.048891,2808,3641,98,22,0,1
1.6,432,0,166004640,745,94,37,4,19,0.051580,2808,3641,98,22,0,1
1.6,433,0,166061880,745,94,37,4,19,0.051929,2810,3643,98,22,0,1
1.6,434,0,166117656,745,94,37,4,19,0.051983,2810,3643,98,22,0,1
1.6,435,0,166176352,745,94,37,4,19,0.052296,2812,3643,98,22,0,1
1.6,436,0,166233528,745,94,37,4,18,0.054258,2812,3643,99,21,0,2
1.6,437,0,166290784,745,94,37,4,18,0.055805,2812,3643,99,21,0,2
1.6,438,0,166339776,745,94,37,4,18,0.055885,2812,3643,99,21,0,2
1.6,439,0,166364232,745,94,37,4,18,0.056338,2812,3643,99,21,0,2
1.6,440,0,166404992,745,94,37,4,18,0.055057,2812,3643,99,21,0,2
1.6,441,0,166453928,745,94,37,4,19,0.053437,2812,3643,95,17,0,1
1.6,442,0,166502952,745,94,37,4,19,0.051587,2812,3643,95,17,0,1
1.6,443,0,165005888,746,94,37,4,20,0.051070,2812,3643,95,17,0,1
1.6,444,0,165055008,746,94,37,4,20,0.050998,2812,3643,95,17,0,1
1.6,445,0,165112160,746,94,37,4,20,0.050596,2812,3643,95,17,0,1
1.6,446,0,165160584,746,94,37,4,20,0.049042,2812,3643,97,19,0,2
1.6,447,0,165217760,746,94,37,4,20,0.050201,2812,3643,97,19,0,2
1.6,448,0,165266824,746,94,37,4,19,0.051471,2812,3643,97,19,0,2
1.6,449,0,165307672,746,94,37,4,19,0.053726,2812,3643,97,19,0,2
1.6,450,0,165364584,746,94,37,4,18,0.055917,2812,3643,97,19,0,2
1.6,451,0,165421648,746,94,37,4,18,0.055960,2812,3643,97,16,0,2
1.6,452,0,165478784,746,94,37,4,18,0.056221,2812,3643,97,16,0,2
1.6,453,0,165519464,746,94,37,4,18,0.056375,2812,3643,97,16,0,2
1.6,454,0,165576600,746,94,37,4,18,0.057065,2812,3643,97,16,0,2
1.6,455,0,165609016,746,94,37,4,17,0.057412,2812,3643,97,16,0,2
1.6,456,0,165657928,746,94,37,4,17,0.060071,2812,3643,96,14,0,1
1.6,457,0,165715112,746,94,37,4,17,0.059127,2812,3643,96,14,0,1
1.6,458,0,165763952,746,94,37,4,17,0.058234,2812,3643,96,14,0,1
1.6,459,0,165812864,746,94,37,4,18,0.056774,2812,3643,96,14,0,1
1.6,460,0,165853712,746,94,37,4,18,0.055144,2812,3643,96,14,0,1
1.6,461,0,165910816,746,94,37,4,18,0.054995,2812,3643,95,19,0,2
1.6,462,0,165951440,746,94,37,4,18,0.054673,2812,3643,95,19,0,2
1.6,463,0,165992240,746,94,37,4,18,0.054846,2812,3643,95,19,0,2
1.6,464,0,166041240,746,94,37,4,18,0.055207,2812,3643,95,19,0,2
1.6,465,0,166090200,746,94,37,4,19,0.053384,2812,3643,95,19,0,2
1.6,466,0,166114776,746,94,37,4,20,0.050180,2812,3643,95,17,0,1
1.6,467,0,166171968,746,94,37,4,21,0.048379,2812,3643,95,17,0,1
1.6,468,0,166212648,746,94,37,4,21,0.047929,2812,3643,95,17,0,1
1.6,469,0,166245368,746,94,37,4,21,0.046702,2812,3643,95,17,0,1
1.6,470,0,166286112,746,94,37,4,22,0.045635,2812,3643,95,17,0,1
1.6,471,0,166335184,746,94,37,4,22,0.045093,2812,3643,95,17,0,1
1.6,472,0,166367808,746,94,37,4,22,0.044635,2812,3643,98,21,0,2
1.6,473,0,166424816,746,94,37,4,23,0.043975,2812,3643,98,21,0,2
1.6,474,0,166473776,746,94,37,4,24,0.041695,2812,3643,98,21,0,2
1.6,475,0,166506376,746,94,37,4,24,0.041594,2812,3643,98,21,0,2
1.6,476,0,166547200,746,94,37,4,24,0.042209,2812,3643,98,21,0,2
1.6,477,0,165025784,747,94,37,4,23,0.042637,2812,3643,98,21,0,2
1.6,478,0,165090944,747,94,37,4,24,0.042417,2812,3643,96,19,0,2
1.6,479,0,165131800,747,94,37,4,23,0.042579,2812,3643,96,19,0,2
1.6,480,0,165172584,747,94,37,4,23,0.042635,2812,3643,96,19,0,2
1.6,481,0,165221536,747,94,37,4,23,0.043155,2812,3643,96,19,0,2
1.6,482,0,165246008,747,94,37,4,23,0.042918,2812,3643,96,19,0,2
1.6,483,0,165295040,747,94,37,4,23,0.043261,2812,3643,96,19,0,2
1.6,484,0,165352184,747,94,37,4,23,0.043722,2812,3643,97,21,0,2
1.6,485,0,165384848,747,94,37,4,23,0.043369,2812,3643,97,21,0,2
1.6,486,0,165433840,747,94,37,4,23,0.043446,2812,3643,97,21,0,2
1.6,487,0,165466512,747,94,37,4,23,0.042888,2812,3643,97,21,0,2
